iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
MGS206.A0101	MGS246.A0101	26.04609727859497	45.90868949890136	2.0	45.90868949890136	2.0	45.90868949890136	2.0	26.04609727859497	1.0
MGS248.A0101	CSK003.A0101	45.85170149803161	45.85170149803161	1.0	45.85170149803161	1.0	45.85170149803161	1.0	45.85170149803161	1.0
LEO105.A0101	LEO023.A0101	20.505404472351067	45.84240466356276	3.0	36.81400567293166	2.0	36.81400567293166	2.0	20.505404472351067	1.0
LEO046.A0101	KFJ018.A0101	17.49399900436401	45.82690000534056	4.0	17.49399900436401	1.0	17.49399900436401	1.0	0.0	0.0
LEO080.A0101	LEO103.A0101	34.05849933624267	45.82400321960448	2.0	34.05849933624267	1.0	34.05849933624267	1.0	34.05849933624267	1.0
LEO113.A0101	LEO120.A0101	26.8075942993164	45.79308927059172	3.0	26.8075942993164	1.0	26.8075942993164	1.0	26.8075942993164	1.0
LEO066.A0101	LEO020.A0101	30.24979829788208	45.7859992980957	2.0	45.7859992980957	2.0	30.24979829788208	1.0	30.24979829788208	1.0
MGS116.A0101	MGS187.A0101	26.111692190170288	45.78279852867126	2.0	45.78279852867126	2.0	45.78279852867126	2.0	26.111692190170288	1.0
MGS249.A0101	MGS197.A0101	31.37340247631073	45.77030837535858	2.0	45.77030837535858	2.0	31.37340247631073	1.0	31.37340247631073	1.0
MGS305.A0101	MGS238.A0101	24.1873025894165	45.766401290893555	2.0	45.766401290893555	2.0	45.766401290893555	2.0	45.766401290893555	2.0
MGS192.A0101	MGS028.A0101	30.40229678153991	45.749992132186875	2.0	45.749992132186875	2.0	30.40229678153991	1.0	30.40229678153991	1.0
RKF034.A0101	RKC033.A0101	24.6254026889801	45.673603005707264	3.0	37.06080317497253	2.0	24.6254026889801	1.0	24.6254026889801	1.0
CSK028.A0101	MGS248.A0101	45.64159512519836	45.64159512519836	1.0	45.64159512519836	1.0	45.64159512519836	1.0	45.64159512519836	1.0
MGS002.A0101	MGS243.A0101	29.60070371627807	45.63059806823729	2.0	45.63059806823729	2.0	45.63059806823729	2.0	29.60070371627807	1.0
RKF076.A0101	RKF109.A0101	29.855701327323906	45.62340080738066	2.0	45.62340080738066	2.0	29.855701327323906	1.0	29.855701327323906	1.0
